#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1910.05   -0.309087    0.024312   -0.077626    0.022971   0.0000000   0.0000000   -0.088889    0.000000   -0.025120    0.000000
   1910.10   -0.333667    0.029333   -0.017686    0.021881  -0.0001214   0.0000000   -0.088973    0.000000   -0.024515    0.000000
   1910.15   -0.330212    0.018673    0.092997    0.021537   0.0000812   0.0000000   -0.089208    0.000000   -0.023690    0.000000
   1910.20   -0.355077    0.020039    0.105197    0.017381   0.0001138   0.0000000   -0.089493    0.000000   -0.022561    0.000000
   1910.25   -0.347427    0.018223    0.227487    0.020884  -0.0002393   0.0000000   -0.090073    0.000000   -0.021811    0.000000
   1910.30   -0.310535    0.015628    0.324063    0.017843   0.0001371   0.0000000   -0.090165    0.000000   -0.021181    0.000000
   1910.35   -0.214812    0.017845    0.362032    0.017198   0.0000114   0.0000000   -0.090152    0.000000   -0.020700    0.000000
   1910.40   -0.110967    0.024311    0.383612    0.022439  -0.0002380   0.0000000   -0.089796    0.000000   -0.020688    0.000000
   1910.45   -0.041839    0.017913    0.411891    0.019909   0.0001295   0.0000000   -0.088888    0.000000   -0.020748    0.000000
   1910.50    0.080238    0.014926    0.428793    0.018870  -0.0000416   0.0000000   -0.087753    0.000000   -0.021109    0.000000
   1910.55    0.180624    0.015936    0.392723    0.016705  -0.0000964   0.0000000   -0.086600    0.000000   -0.021139    0.000000
   1910.60    0.248583    0.015732    0.340610    0.017807   0.0000499   0.0000000   -0.085763    0.000000   -0.021156    0.000000
   1910.65    0.297435    0.022557    0.263072    0.020173   0.0000083   0.0000000   -0.085270    0.000000   -0.021282    0.000000
   1910.70    0.312784    0.016765    0.157845    0.017291  -0.0001399   0.0000000   -0.085301    0.000000   -0.021606    0.000000
   1910.75    0.310409    0.016240    0.055406    0.017011   0.0000920   0.0000000   -0.085660    0.000000   -0.021978    0.000000
